acid,epoxide
CC(C#N)(CCC(=O)O)/N=N/C(C)(C#N)CCC(=O)O,C(CCC1CO1)CC2CO2
CC(C#N)(CCC(=O)O)/N=N/C(C)(C#N)CCC(=O)O,C1OC1C2CO2
CC(C#N)(CCC(=O)O)/N=N/C(C)(C#N)CCC(=O)O,C(CCOCC1CO1)COCC2CO2
CC(C#N)(CCC(=O)O)/N=N/C(C)(C#N)CCC(=O)O,CC(C)(COCC1CO1)COCC2CO2
CC(C#N)(CCC(=O)O)/N=N/C(C)(C#N)CCC(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
CC(C#N)(CCC(=O)O)/N=N/C(C)(C#N)CCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
CC(C#N)(CCC(=O)O)/N=N/C(C)(C#N)CCC(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)CC(O)C(=O)O,C(CCC1CO1)CC2CO2
O=C(O)CC(O)C(=O)O,C1OC1C2CO2
O=C(O)CC(O)C(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)CC(O)C(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)CC(O)C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)CC(O)C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)CC(O)C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)/C=C/CC(=O)O,C(CCC1CO1)CC2CO2
O=C(O)/C=C/CC(=O)O,C1OC1C2CO2
O=C(O)/C=C/CC(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)/C=C/CC(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)/C=C/CC(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)/C=C/CC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)/C=C/CC(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)C1(C(=O)O)CCCCC1,C(CCC1CO1)CC2CO2
O=C(O)C1(C(=O)O)CCCCC1,C1OC1C2CO2
O=C(O)C1(C(=O)O)CCCCC1,C(CCOCC1CO1)COCC2CO2
O=C(O)C1(C(=O)O)CCCCC1,CC(C)(COCC1CO1)COCC2CO2
O=C(O)C1(C(=O)O)CCCCC1,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)C1(C(=O)O)CCCCC1,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)C1(C(=O)O)CCCCC1,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)c1ccccc1C(=O)O,C(CCC1CO1)CC2CO2
O=C(O)c1ccccc1C(=O)O,C1OC1C2CO2
O=C(O)c1ccccc1C(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)c1ccccc1C(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)c1ccccc1C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)c1ccccc1C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)c1ccccc1C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)CCC(=O)O,C(CCC1CO1)CC2CO2
O=C(O)CCC(=O)O,C1OC1C2CO2
O=C(O)CCC(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)CCC(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)CCC(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)CCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)CCC(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
CC(CCC(=O)O)C(=O)O,C(CCC1CO1)CC2CO2
CC(CCC(=O)O)C(=O)O,C1OC1C2CO2
CC(CCC(=O)O)C(=O)O,C(CCOCC1CO1)COCC2CO2
CC(CCC(=O)O)C(=O)O,CC(C)(COCC1CO1)COCC2CO2
CC(CCC(=O)O)C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
CC(CCC(=O)O)C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
CC(CCC(=O)O)C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)c1cc(=O)cc(C(=O)O)o1,C(CCC1CO1)CC2CO2
O=C(O)c1cc(=O)cc(C(=O)O)o1,C1OC1C2CO2
O=C(O)c1cc(=O)cc(C(=O)O)o1,C(CCOCC1CO1)COCC2CO2
O=C(O)c1cc(=O)cc(C(=O)O)o1,CC(C)(COCC1CO1)COCC2CO2
O=C(O)c1cc(=O)cc(C(=O)O)o1,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)c1cc(=O)cc(C(=O)O)o1,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)c1cc(=O)cc(C(=O)O)o1,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)C1(C(=O)O)CC1,C(CCC1CO1)CC2CO2
O=C(O)C1(C(=O)O)CC1,C1OC1C2CO2
O=C(O)C1(C(=O)O)CC1,C(CCOCC1CO1)COCC2CO2
O=C(O)C1(C(=O)O)CC1,CC(C)(COCC1CO1)COCC2CO2
O=C(O)C1(C(=O)O)CC1,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)C1(C(=O)O)CC1,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)C1(C(=O)O)CC1,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)CCCCCCCCC(=O)O,C(CCC1CO1)CC2CO2
O=C(O)CCCCCCCCC(=O)O,C1OC1C2CO2
O=C(O)CCCCCCCCC(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)CCCCCCCCC(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)CCCCCCCCC(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)CCCCCCCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)CCCCCCCCC(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)C1CCC1C(=O)O,C(CCC1CO1)CC2CO2
O=C(O)C1CCC1C(=O)O,C1OC1C2CO2
O=C(O)C1CCC1C(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)C1CCC1C(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)C1CCC1C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)C1CCC1C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)C1CCC1C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)C1CCCC1C(=O)O,C(CCC1CO1)CC2CO2
O=C(O)C1CCCC1C(=O)O,C1OC1C2CO2
O=C(O)C1CCCC1C(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)C1CCCC1C(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)C1CCCC1C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)C1CCCC1C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)C1CCCC1C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)c1ccoc1C(=O)O,C(CCC1CO1)CC2CO2
O=C(O)c1ccoc1C(=O)O,C1OC1C2CO2
O=C(O)c1ccoc1C(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)c1ccoc1C(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)c1ccoc1C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)c1ccoc1C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)c1ccoc1C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)C1CC=CCC1C(=O)O,C(CCC1CO1)CC2CO2
O=C(O)C1CC=CCC1C(=O)O,C1OC1C2CO2
O=C(O)C1CC=CCC1C(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)C1CC=CCC1C(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)C1CC=CCC1C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)C1CC=CCC1C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)C1CC=CCC1C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
Cc1cc(C(=O)O)cc(C(=O)O)c1,C(CCC1CO1)CC2CO2
Cc1cc(C(=O)O)cc(C(=O)O)c1,C1OC1C2CO2
Cc1cc(C(=O)O)cc(C(=O)O)c1,C(CCOCC1CO1)COCC2CO2
Cc1cc(C(=O)O)cc(C(=O)O)c1,CC(C)(COCC1CO1)COCC2CO2
Cc1cc(C(=O)O)cc(C(=O)O)c1,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
Cc1cc(C(=O)O)cc(C(=O)O)c1,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
Cc1cc(C(=O)O)cc(C(=O)O)c1,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
CC(C)(Cc1cccc(CC(C)(C)C(=O)O)c1)C(=O)O,C(CCC1CO1)CC2CO2
CC(C)(Cc1cccc(CC(C)(C)C(=O)O)c1)C(=O)O,C1OC1C2CO2
CC(C)(Cc1cccc(CC(C)(C)C(=O)O)c1)C(=O)O,C(CCOCC1CO1)COCC2CO2
CC(C)(Cc1cccc(CC(C)(C)C(=O)O)c1)C(=O)O,CC(C)(COCC1CO1)COCC2CO2
CC(C)(Cc1cccc(CC(C)(C)C(=O)O)c1)C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
CC(C)(Cc1cccc(CC(C)(C)C(=O)O)c1)C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
CC(C)(Cc1cccc(CC(C)(C)C(=O)O)c1)C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)c1ccc(OCCCOc2ccc(C(=O)O)cc2)cc1,C(CCC1CO1)CC2CO2
O=C(O)c1ccc(OCCCOc2ccc(C(=O)O)cc2)cc1,C1OC1C2CO2
O=C(O)c1ccc(OCCCOc2ccc(C(=O)O)cc2)cc1,C(CCOCC1CO1)COCC2CO2
O=C(O)c1ccc(OCCCOc2ccc(C(=O)O)cc2)cc1,CC(C)(COCC1CO1)COCC2CO2
O=C(O)c1ccc(OCCCOc2ccc(C(=O)O)cc2)cc1,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)c1ccc(OCCCOc2ccc(C(=O)O)cc2)cc1,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)c1ccc(OCCCOc2ccc(C(=O)O)cc2)cc1,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)CCCCCCC(=O)O,C(CCC1CO1)CC2CO2
O=C(O)CCCCCCC(=O)O,C1OC1C2CO2
O=C(O)CCCCCCC(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)CCCCCCC(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)CCCCCCC(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)CCCCCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)CCCCCCC(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
O=C(O)CCCCCCCC(=O)O,C(CCC1CO1)CC2CO2
O=C(O)CCCCCCCC(=O)O,C1OC1C2CO2
O=C(O)CCCCCCCC(=O)O,C(CCOCC1CO1)COCC2CO2
O=C(O)CCCCCCCC(=O)O,CC(C)(COCC1CO1)COCC2CO2
O=C(O)CCCCCCCC(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
O=C(O)CCCCCCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
O=C(O)CCCCCCCC(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
C=CCC(C(=O)O)C(=O)O,C(CCC1CO1)CC2CO2
C=CCC(C(=O)O)C(=O)O,C1OC1C2CO2
C=CCC(C(=O)O)C(=O)O,C(CCOCC1CO1)COCC2CO2
C=CCC(C(=O)O)C(=O)O,CC(C)(COCC1CO1)COCC2CO2
C=CCC(C(=O)O)C(=O)O,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
C=CCC(C(=O)O)C(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
C=CCC(C(=O)O)C(=O)O,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
CC(C)(C)c1cc(C(=O)O)c2c(c1)C(C)(C)c1cc(C(C)(C)C)cc(C(=O)O)c1O2,C(CCC1CO1)CC2CO2
CC(C)(C)c1cc(C(=O)O)c2c(c1)C(C)(C)c1cc(C(C)(C)C)cc(C(=O)O)c1O2,C1OC1C2CO2
CC(C)(C)c1cc(C(=O)O)c2c(c1)C(C)(C)c1cc(C(C)(C)C)cc(C(=O)O)c1O2,C(CCOCC1CO1)COCC2CO2
CC(C)(C)c1cc(C(=O)O)c2c(c1)C(C)(C)c1cc(C(C)(C)C)cc(C(=O)O)c1O2,CC(C)(COCC1CO1)COCC2CO2
CC(C)(C)c1cc(C(=O)O)c2c(c1)C(C)(C)c1cc(C(C)(C)C)cc(C(=O)O)c1O2,C1OC1COc2ccc(Cc3ccc(OCC4CO4)cc3)cc2
CC(C)(C)c1cc(C(=O)O)c2c(c1)C(C)(C)c1cc(C(C)(C)C)cc(C(=O)O)c1O2,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
CC(C)(C)c1cc(C(=O)O)c2c(c1)C(C)(C)c1cc(C(C)(C)C)cc(C(=O)O)c1O2,CC(C)(c1ccc(OCCCOCC2CO2)cc1)c3ccc(OCCCOCC4CO4)cc3
